,id,sentence1,sentence2,label,pred,TP,FP,TN,FN
1,2,His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .,"His father emigrated to America in 1868 , but returned when his wife became ill and before the rest of the family could go to Missouri .",0,0,0,0,1,0
3,4,"Steiner argued that , in the right circumstances , the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline .","Steiner held that the spiritual world can be researched in the right circumstances through direct experience , by persons practicing rigorous forms of ethical and cognitive self-discipline .",0,0,0,0,1,0
4,5,/,Luciano Williames Dias ( born 25 July 1970 ) is a former football coach and Brazilian player .,0,0,0,0,1,0
5,6,"During her sophomore , junior and senior summers , she spent half of it with her Alaska team , and half playing , and living in Oregon .","During her second , junior and senior summers , she spent half of it with her Alaska team , half playing and living in Oregon .",1,0,0,0,0,1
6,7,The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800 .,The smallest number that can be represented as a sum of four positive seventh potences in two different ways is 2056364173794800 .,0,0,0,0,1,0
7,8,"His father emigrated to Missouri in 1868 , but returned when his wife became ill and before the rest of the family could go to America .",His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .,1,1,1,0,0,0
8,9,"The Villa Pesquera facilities are owned by the Municipality of Ponce , but operated by the fishermen themselves .","The facilities of Villa Pesquera are operated by the Municipality of Ponce , but are owned by the fishermen .",0,0,0,0,1,0
9,10,It is situated south of Köroğlu Mountains and to the north of Bolu .,It is situated south of Köroğlu - mountains and north of the Bolu .,1,0,0,0,0,1
10,11,The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region .,The Río Blanco - Mine is a large copper mine in northern Peru in the region of Loreto .,1,0,0,0,0,1
11,12,"He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '' , and as Onoda in AMC `` Hell On Wheels '' .",He appeared as General Onoda in the Amazon - Show `` The Man in High Castle '' and as Tao on AMCs '' Hell On Wheels '' .,0,0,0,0,1,0
13,14,The Sunset Sunset Road comes from right and becomes Briscoe Mountain Road .,Sunset Road comes in from the right and becomes Briscoe Mountain Road .,1,0,0,0,0,1
14,15,"To get there , take the Marine Drive from the Lions Gate Bridge to the West , past Lighthouse Park , Horseshoe Bay and then further on to the 7100 Marine Drive block .","To get there , take Marine Drive west from the Lions Gate Bridge past Horseshoe Bay to Lighthouse Park and then continue on to 7100 Block Marine Drive .",0,0,0,0,1,0
15,16,"Inverallan is one of the parishes which formed the ecclesiastical ( later civil ) parish of `` Cromdale , Inverallan and Advie '' in Morayshire in Scotland .","Inverallan is one of the parishes that formed the civil ( later ecclesiastical ) parish of Cromdale , Inverallan and Advie in Morayshire , Scotland .",0,0,0,0,1,0
16,17,Mr. Thuso Nokwanda Mbedu was born in Pietermaritzburg as Thuso Mbebu .,Thuso Nokwanda Mbedu was born Thuso Mbebu in Pietermaritzburg .,1,0,0,0,0,1
18,19,John Barrow Island is a member of the Queen Elizabeth Islands and the Canadian Arctic Archipelago in the territory of Nunavut .,John Barrow Island is a member of the Canadian Arctic Archipelago and the Queen Elizabeth Islands in the Nunavut area .,0,0,0,0,1,0
19,20,It was chosen as the 19th best movie at the 7th Yokohama Film Festival .,It was chosen as the 7th best film at the 19th Yokohama Film Festival .,0,1,0,1,0,0
21,22,"Netanya is located on the Israeli Mediterranean Coastal Plain , the historic land bridge between Europe , Africa , and Asia .","Netanya is located on the Israeli Mediterranean coast , the historic land bridge between Europe , Africa and Asia .",1,0,0,0,0,1
22,23,Owned by Rick and Sheri Dorritie is Megasaurus and owned by Mike West Transaurus .,Megasaurus is owned by Rick and Sheri Dorritie and Transaurus is owned by Mike West .,1,0,0,0,0,1
23,24,All five events started the last day and concluded with the final on the first day .,All five events started on the last day and concluded with the final on the first day .,1,0,0,0,0,1
25,26,The strong influence of Attic-figure Greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic .,The strong influence of redfigurine attic vase painting has convinced some experts that the artist who decorated the tomb was a Greek Metic .,0,0,0,0,1,0
